contractSymbol,S0,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250926C00110000,254.1699981689453,2025-09-22 19:06:15+00:00,110.0,145.22,144.25,144.7,-0.009994507,-0.0068818475,1,11,3.6171884570312502,True,REGULAR,USD
AAPL250926C00120000,254.1699981689453,2025-09-23 14:07:53+00:00,120.0,135.7,133.75,134.85,0.41999817,0.31046584,5,15,2.9140652148437503,True,REGULAR,USD
AAPL250926C00125000,254.1699981689453,2025-09-23 13:49:43+00:00,125.0,131.09,129.25,129.8,5.7199936,4.56249,1,11,3.175783310546875,True,REGULAR,USD
AAPL250926C00130000,254.1699981689453,2025-09-23 14:49:02+00:00,130.0,125.55,124.3,124.85,1.9300003,1.5612363,8,5,3.0781273046874995,True,REGULAR,USD
AAPL250926C00135000,254.1699981689453,2025-09-23 16:22:38+00:00,135.0,120.98,118.7,119.65,2.3100052,1.946579,3,3,3.0000025,True,REGULAR,USD
AAPL250926C00140000,254.1699981689453,2025-09-23 16:22:38+00:00,140.0,116.03,113.8,114.9,0.80999756,0.70300084,7,15,2.46094134765625,True,REGULAR,USD
AAPL250926C00145000,254.1699981689453,2025-09-23 16:11:13+00:00,145.0,110.89,109.15,109.95,0.62000275,0.5622588,2,6,2.5976597558593753,True,REGULAR,USD
AAPL250926C00150000,254.1699981689453,2025-09-23 16:03:31+00:00,150.0,106.18,104.25,104.95,4.0699997,3.9858973,3,7,2.5058631103515623,True,REGULAR,USD
AAPL250926C00155000,254.1699981689453,2025-09-23 15:53:41+00:00,155.0,100.93,99.3,100.1,3.8300018,3.944389,4,8,2.4511757470703124,True,REGULAR,USD
AAPL250926C00160000,254.1699981689453,2025-09-23 15:53:41+00:00,160.0,95.98,94.1,94.75,1.9300003,2.0521002,6,5,2.058598603515625,True,REGULAR,USD
AAPL250926C00165000,254.1699981689453,2025-09-23 13:34:58+00:00,165.0,91.47,89.25,90.2,2.3700027,2.6599357,2,11,2.1953170117187497,True,REGULAR,USD
