contractSymbol,S0,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250926P00110000,254.1699981689453,2025-08-26 19:39:09+00:00,110.0,0.01,0.0,0.01,0.0,0.0,10.0,42,2.3750040624999995,False,REGULAR,USD
AAPL250926P00125000,254.1699981689453,2025-08-19 15:40:13+00:00,125.0,0.04,0.0,0.01,0.0,0.0,2.0,1483,2.0625048437499998,False,REGULAR,USD
AAPL250926P00130000,254.1699981689453,2025-09-03 19:29:43+00:00,130.0,0.01,0.0,0.01,0.0,0.0,188.0,209,1.9375003125,False,REGULAR,USD
AAPL250926P00135000,254.1699981689453,2025-09-05 17:23:59+00:00,135.0,0.01,0.0,0.01,0.0,0.0,40.0,186,1.8437507812499998,False,REGULAR,USD
AAPL250926P00140000,254.1699981689453,2025-09-09 19:43:03+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,184,1.75000125,False,REGULAR,USD
AAPL250926P00145000,254.1699981689453,2025-09-23 13:30:03+00:00,145.0,0.01,0.0,0.01,0.0,0.0,11.0,101,1.625001875,False,REGULAR,USD
AAPL250926P00150000,254.1699981689453,2025-09-10 19:25:37+00:00,150.0,0.01,0.0,0.01,0.0,0.0,53.0,65,1.5625021874999998,False,REGULAR,USD
AAPL250926P00155000,254.1699981689453,2025-09-12 17:10:17+00:00,155.0,0.01,0.0,0.01,0.0,0.0,100.0,113,1.46875265625,False,REGULAR,USD
AAPL250926P00160000,254.1699981689453,2025-09-12 15:57:02+00:00,160.0,0.02,0.0,0.01,0.0,0.0,5.0,58,1.3750031249999999,False,REGULAR,USD
AAPL250926P00165000,254.1699981689453,2025-09-12 15:33:58+00:00,165.0,0.02,0.0,0.01,0.0,0.0,1.0,101,1.2812535937499998,False,REGULAR,USD
AAPL250926P00170000,254.1699981689453,2025-09-23 18:25:24+00:00,170.0,0.01,0.0,0.01,0.0,0.0,1.0,919,1.1875040625,False,REGULAR,USD
AAPL250926P00175000,254.1699981689453,2025-09-19 14:29:56+00:00,175.0,0.01,0.0,0.01,0.0,0.0,156.0,435,1.125004375,False,REGULAR,USD
AAPL250926P00180000,254.1699981689453,2025-09-23 15:40:24+00:00,180.0,0.01,0.0,0.01,0.0,0.0,10.0,696,1.0312548437500002,False,REGULAR,USD
AAPL250926P00185000,254.1699981689453,2025-09-23 13:30:09+00:00,185.0,0.01,0.0,0.01,0.0,0.0,7.0,265,0.9687503125,False,REGULAR,USD
AAPL250926P00190000,254.1699981689453,2025-09-22 15:11:29+00:00,190.0,0.01,0.0,0.01,0.0,0.0,26.0,568,0.87500125,False,REGULAR,USD
